tag,Lon,Lat,Lon.2.5.,Lon.97.25.,Lat.2.5.,Lat.97.25.,mask,tag.loc,year,Ring.No,type,site.number
BR064,-16.62931034,12.46311475,-17.12931034,-15.62931034,11.96311475,16.96311475,land,Gambia,2019,NA,geolocator,1
BV422,-16.62931034,13.84016393,-18.12931034,-15.62931034,6.840163934,21.84016393,none,Gambia,2019,NA,geolocator,1
BV422,-16.57758621,14.17622951,-17.07758621,-15.57758621,12.17622951,17.17622951,land,Gambia,2019,NA,geolocator,1
BV422,-16.09482759,11.71721311,-19.59482759,-10.09482759,-6.282786885,25.21721311,none,Gambia,2020,NA,geolocator,1
BV422,-16.59482759,13.29918033,-17.09482759,-12.59482759,10.79918033,23.29918033,land,Gambia,2020,NA,geolocator,1
58392,-16.97052,14.81541,NA,NA,NA,NA,NA,UK,2023,NA,gps,NA
58400,-13.3466,13.53815,NA,NA,NA,NA,NA,UK,2023,NA,gps,NA
NA,13.08,-16.769,NA,NA,NA,NA,NA,UK,2011,L142251,ringing,1
NA,13.081,-16.771,NA,NA,NA,NA,NA,UK,2012,L305877,ringing,1
NA,13.072,-16.749,NA,NA,NA,NA,NA,Gambia,2016,NA82699,ringing,1
NA,13.072,-16.749,NA,NA,NA,NA,NA,UK,2016,TZ28089,ringing,1
NA,13.083,-16.77,NA,NA,NA,NA,NA,Gambia,2018,TR12149,ringing,1
NA,13.08,-16.769,NA,NA,NA,NA,NA,UK,2019,VZ73656,ringing,1
