RTYPE,SCHEME,RING,RINFO,SPEC,RACE,AGE,SEX,SXMTD,DATE,PLACE,SITE,LAT,LONG,FIND,CIRCUMSTANCE,COND,ACT,ACT2,HAB1,HAB2,IRPL,GRID,SCHEM2,RING2,WING,WINGINIT,WT,WTDATE,INIT,POINT,PRIML,MOULT,PPSC,PPMLT,OGC,ALULA,BLMTD,BILL,THL,BDMTD,BILLD,TSMTD,TARSUS,TAIL,CLAW,PLUM,PATCH,FAT,PEC,MTHOD,PULALIV,PULRING,PULCODE,OWN,OWN2,USERC1,USERC2,USERC3,USERC4,USERC5,USERV1,USERV2,USERV3,USERV4,USERV5,TEXT,CAPTURETYPE,FATMTD,SAMPLE,HTTIME,FINDER,BODYMOULT,TAILFORK,EXTRACTINIT,RINGINIT,CHECKINIT,PROJECT1,PROJECTREG1,PROJECT2,PROJECTREG2,PROJECT3,PROJECTREG3,LB,LA,RB,RA,LW,RW,NC,SSMLT,PCMLT,GCMLT,CCMLT,ALULAMLT,TAILMLT,LPPMLT,LSSMLT,LPCMLT,LGCMLT,LCCMLT,LALULAMLT,LTAILMLT,LMCMLT,UWCMLT,HEADMLT,UPPMLT,UNPMLT
N,GBT,NA82698,,NIGAL,,6,,,11/01/2016 07:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,88,MM,18.4,11/01/2016 07:00,MM,,,O,,,,,,,,,,,,,,,,10,,M,,,,,,,,,,,,,,,net 2,B rings used for NIGAL at KBO,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82699,,NIGAL,,6,,,11/01/2016 07:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,86,RAK,20.6,11/01/2016 07:00,RAK,,,N,,,,,,,,,,,,,,,,10,,M,,,,,,,,,,,,,,,net 2,B rings used for NIGAL at KBO,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,BJ28136,,NIGAL,,4,,,12/01/2016 07:50,KARTON,BARRA2,13.081,-16.771,8,20,,M,,J1,,VM00,,,,84,MFJ,22,12/01/2016 07:50,MFJ,,,M,,5555540000,,,,,,,,,,,,,,20,,M,,,,,,,,,,,,,,,net 2,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82692,,NIGAL,,5,,,12/01/2016 07:50,KARTON,BARRA2,13.081,-16.771,8,20,,,,J1,,VM00,,,,84,LVG,20.8,12/01/2016 07:50,LVG,,,O,,,4,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 2,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82698,,NIGAL,,4,,,17/01/2016 07:00,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,88,JBL,19,17/01/2016 07:00,JBL,,,O,,,,,,,,,,,,,,,,10,,M,,,,,,,,,,,,,,,net 2,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82699,,NIGAL,,4,,,17/01/2016 07:00,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,87,MFJ,20.8,17/01/2016 07:00,MFJ,,,O,,,,,,,,,,,,,,,,10,,M,,,,,,,,,,,,,,,net 1,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BJ28150,,NIGAL,,4,,,17/01/2016 07:30,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,,,,,MFJ,,,,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 1,B rings used for NIGAL; ring error,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,L930769,,NIGAL,,4,,,18/01/2016 07:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,85,RW,18.5,18/01/2016 07:00,RW,,,N,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 9,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,Y612137,,NIGAL,,4,,,18/01/2016 07:30,KARTON,BARRA3,13.083,-16.770,8,20,,,,J1,,VM00,,,,86,OF,19.6,18/01/2016 07:30,OF,,,O,,,,,,,,,,,,,,,,10,,M,,,,,,,,,,,,,,,net 1,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,NA82699,I,NIGAL,,4,M,C,12/05/2016 07:30,TM1436,,51.982,1.115,8,20,,,,,,GBSUF,TM1436,,,87,GC,21.8,12/05/2016 07:30,GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,M,,Y,,,,,,,,,,,,,,,,,,,,,,
